"Name","Created","Updated"
"A123456: Blank project default workflow","2022-06-14T11:27:27.576-0500","2022-06-14T11:27:27.576-0500"
"ACC210: General request workflow for Jira Service Management","2025-01-16T10:15:05.746-0600","2025-01-16T10:15:06.056-0600"
"ACC210: Jira Service Management default workflow","2025-01-16T10:15:06.288-0600","2025-01-16T10:15:06.430-0600"
"AHSCR: Content Management Workflow","2021-07-09T13:16:30.759-0500","2021-07-09T13:16:30.759-0500"
"AWS DevOps Team","2022-03-30T19:09:12.921-0500","2022-03-30T19:10:21.722-0500"
"BackupCopy of CHANGE: Problem Management workflow for Jira Service Management","2021-08-18T10:59:54.219-0500","2021-08-18T10:59:54.219-0500"
"BackupCopy of CHANGE: Service Request Fulfilment with Approvals workflow for Jira Service Management","2021-08-18T16:18:40.935-0500","2021-08-18T16:18:40.935-0500"
"BackupCopy of CHANGE: Service Request Fulfilment workflow for Jira Service Management","2021-08-18T16:18:50.105-0500","2021-08-18T16:18:50.105-0500"
"BACKUP_Copy of CLOUDSEC Workflow","2024-12-20T15:15:35.052-0600","2024-12-20T15:15:35.052-0600"
"BackupCopy of Generic Incident Management workflow for Jira Service Desk v2","2021-08-18T16:19:00.600-0500","2021-08-18T16:19:00.600-0500"
"BackupCopy of Generic Problem Management workflow for Jira Service Desk v2","2021-08-18T11:00:10.751-0500","2021-08-18T11:00:10.751-0500"
"BackupCopy of Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2021-08-18T16:19:09.280-0500","2021-08-18T16:19:09.280-0500"
"BackupCopy of Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2021-08-18T16:19:21.908-0500","2021-08-18T16:19:21.908-0500"
"BackupCopy of Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2021-08-18T16:19:29.893-0500","2021-08-18T16:19:29.893-0500"
"BackupCopy of Generic Service Request Fulfilment workflow for Jira Service Desk","2021-08-18T16:19:37.826-0500","2021-08-18T16:19:37.826-0500"
"BBBSD: Change Management workflow for Jira Service Desk","2020-09-04T13:11:08.657-0500","2020-10-14T18:25:06.379-0500"
"BBBSD: Incident Management workflow for Jira Service Desk","2020-09-04T13:11:08.727-0500","2020-10-14T18:25:06.379-0500"
"BBBSD: Jira Service Desk default workflow","2020-09-04T13:11:08.869-0500","2020-10-14T18:25:06.379-0500"
"BBBSD: Problem Management workflow for Jira Service Desk","2020-09-04T13:11:08.802-0500","2020-10-14T18:25:06.379-0500"
"BBBSD: Service Request Fulfilment with Approvals workflow for Jira Service Desk","2020-09-04T13:11:08.583-0500","2020-10-14T18:25:06.379-0500"
"BBBSD: Service Request Fulfilment workflow for Jira Service Desk","2020-09-04T13:11:08.475-0500","2020-11-11T17:47:21.179-0600"
"BC: Default Workflow","2023-06-14T13:35:39.143-0500","2026-03-27T12:31:52.442-0500"
"BSC Information Security_WF_1/5/18_","2026-06-17T13:24:43.994-0500","2023-06-30T04:13:03.684-0500"
"Builds Workflow","1969-12-31T18:00:00.000-0600","1969-12-31T18:00:00.000-0600"
"C123456: Task Management Workflow","2022-06-14T12:04:03.184-0500","2022-06-14T12:04:03.561-0500"
"CHANGE: Change Management workflow for Jira Service Management","2021-01-22T14:13:38.015-0600","2021-01-22T14:13:38.066-0600"
"CHANGE: Incident Management workflow for Jira Service Management","2021-01-22T14:13:38.129-0600","2021-01-22T14:13:38.175-0600"
"CHANGE: Jira Service Management default workflow","2021-01-22T14:13:38.326-0600","2021-01-22T14:13:38.368-0600"
"CHANGE: Problem Management workflow for Jira Service Management","2021-01-22T14:13:38.234-0600","2021-08-18T16:18:13.021-0500"
"CHANGE: Service Request Fulfilment with Approvals workflow for Jira Service Management","2021-01-22T14:13:37.834-0600","2021-08-18T16:18:40.973-0500"
"CHANGE: Service Request Fulfilment workflow for Jira Service Management","2021-01-22T14:13:37.700-0600","2021-08-18T16:18:50.148-0500"
"CLOUDSEC Workflow","2024-07-23T12:00:41.589-0500","2024-12-20T15:15:35.183-0600"
"Code Freeze Override","2024-12-11T10:58:06.305-0600","2024-12-20T16:17:28.918-0600"
"[Comment Screens] Generic Simplified Workflow (with QA)","2025-04-25T10:34:50.480-0500","2026-06-01T14:37:25.521-0500"
"Compliance Workflow","2024-12-09T21:13:30.265-0600","2024-12-09T21:13:30.265-0600"
"Copy 2 of Customized Bug Workflow (with Code Review, QA, UAT, and Ready for Deployment)","2022-12-20T13:24:36.836-0600","2022-12-20T13:24:36.836-0600"
"Copy 2 of Generic - 3-Step (1-Approve) JSM Service Request Fulfilment","2022-05-19T11:21:29.326-0500","2022-05-19T11:21:29.326-0500"
"Copy 2 of Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2022-05-19T11:22:12.946-0500","2022-05-19T11:22:12.946-0500"
"Copy 2 of Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2022-05-16T13:38:43.723-0500","2022-05-16T13:38:43.723-0500"
"Copy 2 of Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2022-05-19T11:23:56.983-0500","2022-05-19T11:23:56.983-0500"
"Copy 2 of Generic Service Request Fulfilment workflow for Jira Service Desk","2023-06-07T12:46:02.486-0500","2023-06-30T04:13:03.684-0500"
"Copy 3 of Generic - 3-Step (1-Approve) JSM Service Request Fulfilment","2023-06-07T12:46:09.606-0500","2023-06-30T04:13:03.684-0500"
"Copy 3 of Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2023-06-07T12:45:46.660-0500","2023-06-30T04:13:03.684-0500"
"Copy 3 of Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2022-05-19T11:23:13.027-0500","2022-05-19T11:23:13.027-0500"
"Copy 3 of Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2023-06-07T12:46:26.162-0500","2023-06-30T04:13:03.684-0500"
"Copy 4 of Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2023-06-07T12:46:35.514-0500","2023-06-30T04:13:03.684-0500"
"Copy of Contractor Onboarding 6/17","2026-06-17T13:24:43.994-0500","2020-10-14T18:25:06.379-0500"
"Copy of Customized Bug Workflow (with Code Review, QA, UAT, and Ready for Deployment)","2022-09-20T14:08:12.500-0500","2022-09-20T14:08:12.500-0500"
"Copy of CUSTOMIZED Simplified Workflow (with Code Review, QA-Dev, QA, UAT, and Ready for Deployment)","2022-12-20T13:22:52.511-0600","2022-12-20T13:22:52.511-0600"
"Copy of Generic - 3-Step (1-Approve) JSM Service Request Fulfilment","2022-05-16T13:37:49.577-0500","2022-05-16T13:37:49.577-0500"
"Copy of Generic Change Management workflow for Jira Service Desk","2021-01-13T14:13:58.590-0600","2021-01-13T14:14:10.106-0600"
"Copy of Generic Incident Management workflow for Jira Service Desk v2","2023-06-07T12:45:55.507-0500","2023-06-07T12:45:55.507-0500"
"Copy of Generic Problem Management workflow for Jira Service Desk v2","2023-06-07T12:46:17.477-0500","2023-06-07T12:46:17.477-0500"
"Copy of Generic Service Request Fulfilment with 2-Step Approval workflow for Jira Service Desk","2022-05-16T13:38:15.367-0500","2022-05-16T13:38:15.367-0500"
"Copy of Generic Service Request Fulfilment with 3-Step Approval workflow for Jira Service Desk","2021-05-06T17:21:18.098-0500","2021-05-06T17:24:23.916-0500"
"Copy of Generic Service Request Fulfilment with Approvals workflow for Jira Service Desk","2022-05-16T13:39:10.749-0500","2022-05-16T13:39:10.749-0500"
