Field Name,Field Key,Type,Custom Type,Hits (Sampled),Projects Using,Project List,Is Global,Context Count,Status
Rank,customfield_11412,any,com.pyxis.greenhopper.jira:gh-lexo-rank,4949,104,"AA, ABAHS, ABI, AFIN, AHSAPP, AHSBA, API, APPL, ARCHTEAM, ARE, ASE, AUTHO, AWEB, AWSC, BC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, DSML, EA, EC, EDP, ENG, ERPS, FCP, FDI, FIN, FINE, FINENG, FLEXIND, FLEXUS, FPMD, FSA, FTT, GRC, HB, HE2E, INT210, ISAUTO, IT210, JID26, JIRAEVO, JSPROD, LCM, LCMNM, MCAE, MKA, MOB, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRM, PRODUCT, PRODUX, PS, PT, PUD, QAINFRA, RENEW, RESR, SC, SCRDSN, SDP, SEO, SOR, SPRDMP, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TNBL, TRAIN, UX, WEBOPS, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Last Updated By,customfield_11107,user,com.atlassian.jira.toolkit:lastupdaterorcommenter,4591,95,"AA, ABI, AFIN, AHSAPP, AHSBA, API, APPL, ARCHTEAM, ARE, ASE, AUTHO, AWEB, AWSC, BC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, DSML, EA, EC, EDP, ENG, ERPS, FCP, FDI, FIN, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, INT210, ISAUTO, IT210, JIRAEVO, JSPROD, MCAE, MKA, MOB, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRM, PRODUX, PS, PUD, QAINFRA, RENEW, RESR, SC, SCRDSN, SDP, SEO, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TNBL, TRAIN, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Request Date,customfield_11307,date,com.atlassian.jira.plugin.system.customfieldtypes:datepicker,4485,94,"ABI, AFIN, AHSAPP, AHSBA, API, APPL, ARCHTEAM, ARE, ASE, AUTHO, AWEB, AWSC, BC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, DSML, EA, EC, EDP, ENG, ERPS, FCP, FDI, FIN, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, INT210, ISAUTO, IT210, JIRAEVO, JSPROD, MCAE, MKA, MOB, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRM, PRODUX, PS, PUD, QAINFRA, RENEW, RESR, SC, SCRDSN, SDP, SEO, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TNBL, TRAIN, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
"If Configuration Error, Note :",customfield_15740,string,com.atlassian.jira.plugin.system.customfieldtypes:textarea,4389,92,"ABI, AFIN, AHSAPP, AHSBA, API, APPL, ARCHTEAM, ARE, ASE, AUTHO, AWEB, AWSC, BC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, DSML, EA, EC, EDP, ENG, ERPS, FCP, FDI, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, INT210, ISAUTO, IT210, JIRAEVO, JSPROD, MCAE, MKA, MOB, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRODUX, PS, PUD, QAINFRA, RENEW, RESR, SC, SCRDSN, SDP, SEO, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TNBL, TRAIN, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Snowflake Environment,customfield_16320,option,com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons,4179,90,"ABI, AFIN, AHSAPP, AHSBA, API, APPL, ARCHTEAM, ARE, ASE, AUTHO, AWEB, AWSC, BC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, DSML, EA, EC, EDP, ENG, ERPS, FCP, FDI, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, INT210, ISAUTO, IT210, JIRAEVO, JSPROD, MCAE, MKA, MOB, MSS, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRODUX, PS, PUD, QAINFRA, RENEW, RESR, SC, SDP, SEO, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TNBL, TRAIN, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Unplanned Sprint Work,customfield_13716,option,com.atlassian.jira.plugin.system.customfieldtypes:select,3257,87,"AA, ABI, AFIN, AHSAPP, AHSBA, API, ARCHTEAM, ARE, ASE, AUTHO, AWSC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, DSML, EA, EC, EDP, ERPS, FCP, FDI, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, INT210, ISAUTO, IT210, JIRAEVO, JSPROD, MCAE, MKA, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRM, PRODUX, PS, PUD, QAINFRA, RENEW, SC, SCRDSN, SDP, SEO, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TRAIN, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Work Type,customfield_13800,option,com.atlassian.jira.plugin.system.customfieldtypes:select,3123,84,"AA, ABI, AFIN, AHSAPP, AHSBA, API, ARCHTEAM, ARE, ASE, AUTHO, AWSC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CO, CONTIMP, CORPNET, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, EA, EC, EDP, ERPS, FCP, FDI, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, ISAUTO, IT210, JIRAEVO, JSPROD, MCAE, MKA, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRM, PRODUX, PS, PUD, QAINFRA, RENEW, SCRDSN, SDP, SEO, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TRAIN, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Epic Link,customfield_11411,any,com.pyxis.greenhopper.jira:gh-epic-link,1728,77,"ABI, AHSBA, API, ARCHTEAM, ARE, ASE, AUTHO, AWEB, AWSC, BDS, CASHAPP, CHEM, CI, CLOUDENG, CONTIMP, CPE, CRMMG, CSC, CSIRT, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, EA, EC, EDP, ERPS, FCP, FDI, FIN, FINE, FINENG, FLEXIND, FLEXUS, FSA, FTT, GRC, HB, HE2E, ISAUTO, JIRAEVO, MCAE, MKA, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PMO, PRICE, PRM, PRODUX, PS, PUD, QAINFRA, RENEW, SCRDSN, SDP, SOR, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, UX, WORK210, WOS, XRAYTEST, ZESTY",True,1,Active
Participants,customfield_11104,array,com.atlassian.jira.toolkit:participants,1557,33,"AA, AFIN, ARE, AWEB, CHEM, CO, CONTIMP, CRMMG, CSC, DEV210, DG, ENG, ERPS, FDI, FIN, FSA, HE2E, INT210, MCAE, PHX, PMO, PRM, RESR, SC, SSOL, SSSE, SVS, TACOE, TESTSOFT, TNBL, TRAIN, WORK210, WOS",True,1,Active
Sprint,customfield_11410,array,com.pyxis.greenhopper.jira:gh-sprint,1522,58,"ABI, AFIN, AHSBA, API, ARE, ASE, AUTHO, AWEB, AWSC, BDS, CHEM, CI, CLOUDENG, CPE, CRMMG, CSC, CSIRTOLD, CSVC, CT, DAB, DBAT, DEV210, DG, DR, EC, EDP, ERPS, FCP, FDI, FIN, FINE, FINENG, FLEXIND, FLEXUS, FSA, HB, IT210, MCAE, MSS, NHD, OND, ONDCE, ONDCORE, ONDPRO, PHX, PINT, PS, SSOL, SSSE, SVS, TACOE, TENXMS, TESTSOFT, TRAIN, UX, WORK210, WOS, ZESTY",True,1,Active
