"Name","Key","Type","Custom Type"
"Dev Points","customfield_21521","number","com.atlassian.jira.plugin.system.customfieldtypes:float"
"Course Title","customfield_16174","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"AWS Role","customfield_16173","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Grafana Access","customfield_22850","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"AWS Environment (old)","customfield_16172","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Frontdoor Learning Services","customfield_16171","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Warranty Manager Roles","customfield_16178","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"2-10 App Support","customfield_18591","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Do you require Qualtrics?","customfield_16176","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Cost Centers","customfield_16175","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"AHS Ecom Issue Selection","customfield_16179","option-with-child","com.atlassian.jira.plugin.system.customfieldtypes:cascadingselect"
"Innotas Tasks - Ops","customfield_11711","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Satisfaction","customfield_12800","sd-feedback","com.atlassian.servicedesk:sd-request-feedback"
"Innotas Project - RTB and Ops","customfield_11710","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Satisfaction date","customfield_12801","datetime","com.atlassian.servicedesk:sd-request-feedback-date"
"Atlassian Project","customfield_22849","atlas-project","com.atlassian.jira.plugin.system.customfieldtypes:atlas-project"
"If applicable, has the BPC approved your procedure for publishing to KEYS?","customfield_16170","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Class Type","customfield_16162","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Is this request an expedited request?","customfield_16161","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Contact ID of the call requesting to be retrieved","customfield_16160","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"Frontdoor Learning Support","customfield_16167","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"KEYS Support","customfield_16166","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"Instructor","customfield_16165","user","com.atlassian.jira.plugin.system.customfieldtypes:userpicker"
"If applicable, has the team lead for your department/vertical approved this request?","customfield_16169","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"KEYS Services","customfield_16168","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
