Label,Hits (Sampled),Projects Using,Project List,Status
EDP_Q2_2026,166,31,"ARCHTEAM, ASE, AUTHO, AWSC, CLOUDENG, CPE, CRMMG, CSC, CSVC, DAB, DBAT, DEV210, DR, FINE, FINENG, FLEXUS, FSA, GRC, INT210, JIRAEVO, MCAE, MSS, OND, PMO, PRICE, PRODUCT, PRODUX, PS, QAINFRA, RENEW, SSOL",Active
intake,158,16,"API, ARE, ASE, CHEM, CI, CPE, DBAT, EDP, FDI, FINE, HB, MSS, ONDCORE, PHX, PS, ZESTY",Active
needs_triage,156,19,"AHSAPP, ASE, AUTHO, AWSC, CSC, CSVC, DEV210, FCP, FDI, FINE, FLEXIND, FLEXUS, HB, MSS, OND, PRICE, RENEW, SSOL, ZESTY",Active
productroadmap,152,16,"ABI, AUTHO, BDS, CSVC, DG, EC, FCP, FINENG, FLEXUS, FSA, ONDCE, ONDCORE, ONDPRO, PHX, PINT, ZESTY",Active
techroadmap,143,15,"ABI, ARCHTEAM, CLOUDENG, DAB, DG, EC, EDP, FINE, FSA, GRC, MSS, OND, ONDCORE, PINT, SSOL",Active
KTLO,125,21,"ABI, ASE, DBAT, DG, EC, FCP, FINE, FINENG, HB, MSS, OND, ONDCE, ONDCORE, ONDPRO, PINT, PRICE, RENEW, SSOL, TENXMS, WOS, ZESTY",Active
2-10_Integration,113,21,"ABI, ARE, ASE, CRMMG, CSC, CSVC, CT, DEV210, EA, ERPS, FINENG, GRC, INT210, ISAUTO, LCM, MCAE, MSS, PRICE, RENEW, SC, SSOL",Active
API/Service,102,6,"CASHAPP, ERPS, FINENG, HB, PINT, XRAYTEST",Active
EDP_Q3_2026,92,20,"ABI, ARCHTEAM, ASE, AUTHO, AWSC, CPE, CSC, DAB, DBAT, FDI, FINE, FLEXUS, GRC, INT210, JIRAEVO, MCAE, OND, PMO, QAINFRA, SSOL",Active
EDP_Q1_2026,82,19,"ASE, CSC, CSVC, DAB, DEV210, ERPS, FINE, FSA, GRC, INT210, MCAE, MSS, OND, PHX, PINT, PMO, PRICE, QAINFRA, SC",Active
Automation,77,7,"AWEB, BC, ERPS, FINE, FINENG, HB, SC",Active
Critical_Path_Regression,70,4,"ERPS, FINENG, PINT, SC",Active
SEO,68,4,"BDS, SEO, SVS, ZESTY",Active
ahs_app,59,2,"AHSAPP, MSS",Active
needsbackloggrooming,56,12,"ABI, AWSC, BDS, CLOUDENG, CPE, CSC, CT, DBAT, DG, FLEXUS, MSS, ZESTY",Active
pci-alert-jscrambler,50,1,JSPROD,Single-Project
DeveloperPortal,49,3,"API, BDS, CI",Active
FCP,49,3,"FCP, FLEXUS, OND",Active
FSA,48,1,FSA,Single-Project
Functional,47,7,"APPL, ARE, BC, FINENG, MOB, PINT, SC",Active
2-10_RE1,47,7,"ARE, CRMMG, INT210, LCM, MCAE, PRICE, SSOL",Active
CoreServices,47,3,"BDS, CSVC, PHX",Active
app_feedback,44,1,AHSAPP,Single-Project
gitlab_critical,42,10,"CHEM, CPE, DBAT, FDI, FINE, HB, MSS, ONDCORE, PHX, ZESTY",Active
API,41,3,"AWEB, ERPS, PINT",Active
Critical_Vulnerability_Remediation,41,9,"CHEM, CPE, DBAT, FDI, FINE, HB, MSS, PHX, ZESTY",Active
Critical_Vulnerability_Unclaimed,41,9,"CHEM, CPE, DBAT, FDI, FINE, HB, MSS, PHX, ZESTY",Active
CX,39,4,"BDS, EDP, ISAUTO, TENXMS",Active
2-10Salesforce,38,3,"INT210, MCAE, SSOL",Active
Regression,37,1,ERPS,Single-Project
2-10_RealEstate,37,3,"INT210, MCAE, SSOL",Active
_HomeBase,35,1,HB,Single-Project
EDP_Q4_2025,34,9,"DAB, DG, ERPS, FSA, INT210, OND, PHX, PMO, SSOL",Active
PagerDuty-Alert,32,2,"ASE, ZESTY",Active
RealEstate,32,4,"INT210, MCAE, SSOL, UX",Active
UI,31,5,"ARE, AUTHO, BC, FDI, PINT",Active
SC-Regression,31,2,"RENEW, SC",Active
SimpleFocus,31,1,SVS,Single-Project
SC-Production-Issues,31,1,ZESTY,Single-Project
WriteOff,30,1,ERPS,Single-Project
EDP_Q3_2025,30,5,"INT210, LCM, OND, PHX, PRICE",Active
QEGoal_CP,28,1,QAINFRA,Single-Project
needs_grooming,27,8,"ASE, CSC, EDP, FINE, MSS, PRODUX, WOS, XRAYTEST",Active
2-10_Communication,27,3,"CRMMG, INT210, LCM",Active
2-10_Communications,27,3,"CRMMG, INT210, LCM",Active
2-10_MessageGears,27,3,"CRMMG, INT210, LCM",Active
Data_Architect,27,1,DAB,Single-Project
app:checkmarxcxflow,27,1,ISAUTO,Single-Project
scanner:SAST,27,1,ISAUTO,Single-Project
DL_DataOps,26,3,"ABI, CLOUDENG, DG",Active
Tagging_And_Tracking,26,2,"EA, MKA",Active
business-form,24,4,"JID26, LCM, SPRDMP, WORK210",Active
2-10_MultiYear,23,13,"ABI, ASE, CSC, CSVC, DEV210, ERPS, FINE, FINENG, INT210, MSS, PRICE, RENEW, SC",Active
iOS,23,2,"AHSAPP, MOB",Active
ToBeDeleted,23,3,"ARE, RENEW, XRAYTEST",Active
implementation,23,2,"EA, MKA",Active
P1,22,5,"ASE, INT210, MCAE, SSOL, ZESTY",Active
form,22,4,"CRMMG, FTT, MCAE, TESTSOFT",Active
hvac-enhancements,21,3,"ONDCE, ONDCORE, ONDPRO",Active
ProductMS,20,1,CSVC,Single-Project
Android,20,1,MOB,Single-Project
Renewal-Regression,20,1,RENEW,Single-Project
_API/Service,20,1,RENEW,Single-Project
api_regression,20,1,RENEW,Single-Project
2021v2-DSS-M6,20,1,SCRDSN,Single-Project
chainguard_part2,19,5,"CSC, FINE, FLEXUS, OND, PS",Active
Atlas,19,3,"ONDCE, ONDCORE, ONDPRO",Active
UJI,18,6,"ABI, AWSC, CRMMG, MCAE, OND, SSOL",Active
Legal,18,2,"CONTIMP, SPRDMP",Active
MOBILE-BACKEND,18,1,EDP,Single-Project
testable,18,4,"FINE, FINENG, OND, PINT",Active
2-10_DTC1_NHE1_Serviceability_Launch,18,1,LCM,Single-Project
Finance,17,2,"ABI, SPRDMP",Active
Technology_Enablement,17,3,"ARCHTEAM, CLOUDENG, GRC",Active
EDP_Q4_2026,17,5,"ARCHTEAM, GRC, JIRAEVO, MCAE, PMO",Active
DR,17,7,"CLOUDENG, CPE, DBAT, DR, FLEXUS, GRC, OND",Active
APPS_Clone,17,2,"DG, SOR",Active
2-10_NHE1,17,2,"INT210, LCM",Active
business-form-1920,17,2,"JID26, SPRDMP",Active
EnhancingTheUX,17,2,"SVS, ZESTY",Active
PI2.2018,16,1,PRM,Single-Project
PMO_Roadmap_2026,15,6,"AUTHO, CSVC, ERPS, INT210, OND, PMO",Active
SOR-OKR_Product_Support,15,2,"CI, SOR",Active
MCAE,15,3,"INT210, MCAE, SSOL",Active
2-10_DTC1,15,3,"INT210, LCM, PRICE",Active
PeopleTech_Audit,15,1,PT,Single-Project
Roadmap,15,2,"SSOL, SVS",Active
form-1817,14,1,CRMMG,Single-Project
non-testable,14,2,"FINE, OND",Active
2-10_MCAE,14,3,"INT210, MCAE, SSOL",Active
QEGoal_CP_Automation,14,1,QAINFRA,Single-Project
QEGoal_CP_Manual,14,1,QAINFRA,Single-Project
CI,13,6,"BDS, PINT, SSOL, SVS, UX, ZESTY",Active
coe,13,6,"CLOUDENG, CORPNET, CSC, MSS, OND, TENXMS",Active
FTT_Revenue,13,1,FTT,Single-Project
branch:master,12,4,"BDS, EDP, ISAUTO, TENXMS",Active
owner:FTDR,12,4,"BDS, EDP, ISAUTO, TENXMS",Active
Marketing_Analytics,12,3,"EA, MKA, SVS",Active
EOM,12,3,"INT210, MCAE, SSOL",Active
2-10_Serviceability,12,2,"INT210, LCM",Active
2021v2-DSS-M2,12,1,SCRDSN,Single-Project
2-10_Domain_Contollers,12,1,TNBL,Single-Project
claudecode,11,5,"ARCHTEAM, CPE, FDI, FLEXIND, MSS",Active
2-10_RE1_Launch,11,3,"ASE, CRMMG, MCAE",Active
Automation_AP,11,1,FINENG,Single-Project
2-10_Renewals,11,4,"INT210, LCM, PRICE, RENEW",Active
UATTriage,11,2,"PMO, SSSE",Active
PM,11,1,PRM,Single-Project
SOR-SI,11,1,SOR,Single-Project
Critical_Path_smoke,10,3,"ERPS, FINENG, SC",Active
EDP_Q2_2025,10,3,"INT210, OND, PRICE",Active
SOR-OKR_CS_SLA,10,1,SOR,Single-Project
CI-eComm,9,3,"BDS, SVS, ZESTY",Active
user_request,9,2,"EA, MKA",Active
M1,9,1,FSA,Single-Project
FTT_Finance,9,1,FTT,Single-Project
Spin,9,1,PRM,Single-Project
Spin_BIT,9,1,PRM,Single-Project
PI4.2017,9,1,PRM,Single-Project
eComm,9,1,SSSE,Single-Project
CSC-Dispatches,9,1,WOS,Single-Project
Oracle,8,1,DAB,Single-Project
Data_Governance,8,2,"DAB, DG",Active
AR_Automation,8,1,FINENG,Single-Project
FTT_Reporting,8,1,FTT,Single-Project
ProductWork,8,2,"INT210, MCAE",Active
gitlab_db_deployment,8,2,"OND, ONDCORE",Active
ecomm_qa,8,1,SVS,Single-Project
services,8,1,SVS,Single-Project
QE_2-10_DTC1,7,3,"APPL, BC, SC",Active
PCI2027,7,3,"CLOUDENG, CSIRT, GRC",Active
PCI2027_FTDR,7,3,"CLOUDENG, CSIRT, GRC",Active
PCI_CSIRT,7,1,CSIRTOLD,Single-Project
new-item-asset-itegration,7,1,EDP,Single-Project
no-uat,7,2,"FINE, PINT",Active
AP,7,1,FINENG,Single-Project
priority2,7,1,HE2E,Single-Project
2021v2-DSS-M5,7,1,SCRDSN,Single-Project
SOR_Data_Grounding,7,1,SOR,Single-Project
SFDC_Oncall_Support,7,1,SSOL,Single-Project
Renewals,7,2,"SSSE, TACOE",Active
SEO/Rebuild/Performance,7,1,SVS,Single-Project
Paid_Marketing_Web_Testing_Idea,6,1,ABAHS,Single-Project
Operations,6,1,ABI,Single-Project
DSML,6,1,ABI,Single-Project
EA_Important,6,2,"AHSBA, FTT",Active
QA_REQUIRED,6,2,"AUTHO, CSC",Active
Ecom_Core_Site,6,3,"BDS, SVS, ZESTY",Active
2-10_Renewals_Launch,6,2,"CRMMG, LCM",Active
PCI2026,6,1,CSIRTOLD,Single-Project
ProductWorkbench,6,1,CSVC,Single-Project
Unplanned,6,1,CT,Single-Project
Atlan,6,1,DG,Single-Project
user_access,6,2,"EA, MKA",Active
Salesforce,6,2,"INT210, SSOL",Active
form-189,6,1,MCAE,Single-Project
Investigation,6,1,MKA,Single-Project
CI-FTDR-Pro,6,1,ONDCE,Single-Project
KTLO_PC,6,2,"ONDCORE, ONDPRO",Active
UATRetest,6,2,"PMO, SSSE",Active
PI4.2018,6,1,PRM,Single-Project
PI1.2018,6,1,PRM,Single-Project
team#48,6,1,PRM,Single-Project
Executive,6,1,SPRDMP,Single-Project
GettingTheBasicsRight,6,1,SVS,Single-Project
DTC_Promo,6,1,WORK210,Single-Project
WOS_Q1_2023,6,1,WOS,Single-Project
WOS_Q2_2023,6,1,WOS,Single-Project
repo:dispatches,6,1,WOS,Single-Project
EA_Reporting,5,2,"AHSBA, FTT",Active
DevPortal_M2,5,3,"API, BDS, CI",Active
QE_APUpgrade,5,2,"APPL, BC",Active
QE_APUpgrade_VE2E,5,2,"APPL, BC",Active
Critical_Path_regression,5,2,"ARE, FINENG",Active
NeedsGrooming,5,2,"ASE, OND",Active
Flex,5,3,"ASE, AWSC, FLEXUS",Active
SEODevSupport,5,2,"BDS, ZESTY",Active
Networking,5,2,"CLOUDENG, CORPNET",Active
SMS,5,2,"CRMMG, LCMNM",Active
OnlyQA,5,1,CSVC,Single-Project
ktlo,5,2,"EC, OND",Active
Automation_Backlog_2024,5,3,"FINE, HE2E, PINT",Active
no_uat,5,3,"FINE, FINENG, PINT",Active
automation-goals-2026,5,2,"FINE, QAINFRA",Active
Critical_Path,5,1,FINENG,Single-Project
Automate_HE2E,5,1,HE2E,Single-Project
TPM_Kristen,5,3,"INT210, ISAUTO, LCM",Active
AHS,5,2,"LCMNM, MSS",Active
incident,5,2,"OND, ZESTY",Active
Policies,5,1,ONDCORE,Single-Project
PI5.2017,5,1,PRM,Single-Project
SPRINT4,5,1,PRM,Single-Project
ContinuousImprovement,5,1,SSOL,Single-Project
Salesforce_Integration,5,1,SSOL,Single-Project
