"Name","ID","Category","Scope","ProjectID"
"LEGAL PRIORITY","13375","In Progress","PROJECT","15654"
"Stakeholder Review","13265","In Progress","PROJECT","15696"
"Pulling Performance","13288","In Progress","PROJECT","15699"
"Code Review / Proofing","13289","In Progress","PROJECT","15699"
"Final Review (peer, proofing))","13297","In Progress","PROJECT","15702"
"Done","13298","Done","PROJECT","15702"
"To Do","13299","In Progress","PROJECT","15699"
"Ongoing","13300","In Progress","PROJECT","15699"
"Launched","13301","In Progress","PROJECT","15699"
"Blocked","13303","In Progress","PROJECT","15699"
"Ready for Dev","13306","To Do","PROJECT","15680"
"FTDR Review","13307","In Progress","PROJECT","15680"
"Blocked","13309","In Progress","PROJECT","15702"
"Parking Lot","13310","To Do","PROJECT","15702"
"TO DO","13311","To Do","PROJECT","15702"
"hypercare","13312","In Progress","PROJECT","15702"
"Archive","13328","Done","PROJECT","15702"
"UAT","13337","In Progress","PROJECT","15711"
"Push to Prod","13339","In Progress","PROJECT","15680"
"Blocked","13342","To Do","PROJECT","15711"
"Chemistry Non-Dev","13340","In Progress","PROJECT","15680"
"Post-Prod QA","13341","In Progress","PROJECT","15680"
"Testing","13264","In Progress","PROJECT","15696"
"Open","1","To Do","GLOBAL","—"
"In Progress","3","In Progress","GLOBAL","—"
"Reopened","4","To Do","GLOBAL","—"
"Done","10011","Done","GLOBAL","—"
"Closed","6","Done","GLOBAL","—"
"Passed","10000","Done","GLOBAL","—"
"Defect Found","10001","In Progress","GLOBAL","—"
"Blocked","10006","In Progress","GLOBAL","—"
"To Do","10012","To Do","GLOBAL","—"
"Cancelled","10029","Done","GLOBAL","—"
"In QA","10165","In Progress","GLOBAL","—"
"Backlog","10323","To Do","GLOBAL","—"
"Code Review","10424","In Progress","GLOBAL","—"
"Selected for Development","10537","To Do","GLOBAL","—"
"WOOT","10549","In Progress","GLOBAL","—"
"Research","10727","In Progress","GLOBAL","—"
"Ready","11027","To Do","GLOBAL","—"
"Analysis","11044","To Do","GLOBAL","—"
"Equip/Telco Buffer","11045","In Progress","GLOBAL","—"
"Testing/UAT","11047","In Progress","GLOBAL","—"
"Handoff to Run","11048","In Progress","GLOBAL","—"
"QA","11126","In Progress","GLOBAL","—"
"UAT","11133","In Progress","GLOBAL","—"
"Design","11235","In Progress","GLOBAL","—"
"Ready for Deployment","11723","Done","GLOBAL","—"
"Support","11930","In Progress","GLOBAL","—"
"Submit forms to contractor","12623","In Progress","GLOBAL","—"
"Partial Forms Received","12624","In Progress","GLOBAL","—"
"Enrollment Packet Complete","12625","In Progress","GLOBAL","—"
"Sent to Contrel Rep for Vendor ID","12626","In Progress","GLOBAL","—"
"License and Insurance Not Approved","12627","In Progress","GLOBAL","—"
"License and Insurance Approved","12628","In Progress","GLOBAL","—"
"Onboarding (E-learning, Vendor Portal, Welcome Call)","12629","In Progress","GLOBAL","—"
"Activated/ Completed","12630","Done","GLOBAL","—"
"Not Interested","12631","Done","GLOBAL","—"
"Potential Future Lead","12633","Done","GLOBAL","—"
"Contractor Leads","12640","In Progress","GLOBAL","—"
"Business Requirements","13023","To Do","GLOBAL","—"
"Documentation","13024","In Progress","GLOBAL","—"
"Testing","13025","In Progress","GLOBAL","—"
"Processing Data","13104","In Progress","GLOBAL","—"
"Compiling Results","13105","In Progress","GLOBAL","—"
"No Need At This Time","13106","Done","GLOBAL","—"
"Resolved","13112","Done","GLOBAL","—"
"Canceled","13113","Done","GLOBAL","—"
"Review","13131","In Progress","GLOBAL","—"
"In Review","13182","In Progress","GLOBAL","—"
"Completed","13209","Done","PROJECT","15654"
"Discovery / Impact","13210","In Progress","PROJECT","15654"
"Parking lot","13211","To Do","PROJECT","15654"
"Ready for delivery / QA","13212","In Progress","PROJECT","15654"
"Live","13213","In Progress","PROJECT","15654"
"Prioritized","13214","In Progress","PROJECT","15654"
"In Progress","13215","In Progress","PROJECT","15654"
"QA-Dev","13233","In Progress","GLOBAL","—"
"Test Case Review","13234","In Progress","GLOBAL","—"
"Backlog","13235","To Do","PROJECT","15680"
"Dev In Progress","13236","In Progress","PROJECT","15680"
"Done","13237","Done","PROJECT","15680"
"Blocked/Parking Lot","13238","In Progress","PROJECT","15680"
"Cancelled","13239","Done","PROJECT","15680"
"Ready to Deploy to Test","13250","In Progress","GLOBAL","—"
"Ready for Merge","13255","In Progress","GLOBAL","—"
"Branch Testing","13256","In Progress","GLOBAL","—"
"Stakeholder Review","13257","In Progress","GLOBAL","—"
"On Hold","13259","In Progress","GLOBAL","—"
"Backlog","13261","To Do","PROJECT","15696"
"In Progress","13262","In Progress","PROJECT","15696"
"Done","13263","Done","PROJECT","15696"
"Backlog","13279","To Do","PROJECT","15699"
"In Progress","13280","In Progress","PROJECT","15699"
"Done","13281","Done","PROJECT","15699"
"Backlog","13294","To Do","PROJECT","15702"
"In Progress","13296","In Progress","PROJECT","15702"
"UI Design","13308","In Progress","GLOBAL","—"
"backlog","13325","To Do","PROJECT","15711"
"In Progress","13326","In Progress","PROJECT","15711"
"Done","13327","Done","PROJECT","15711"
"To Do","13417","To Do","PROJECT","15883"
"In Progress","13418","In Progress","PROJECT","15883"
"Done","13419","Done","PROJECT","15883"
"Reviewed","13420","To Do","PROJECT","15883"
"Monitoring / Follow-Up","13606","In Progress","GLOBAL","—"
"Reported","13705","To Do","GLOBAL","—"
"Investigating","13706","In Progress","GLOBAL","—"
"Fixing","13707","In Progress","GLOBAL","—"
"Cancelled","13738","Done","PROJECT","15711"
"Ready for Launch","13771","In Progress","PROJECT","15702"
"On Deck","13837","To Do","GLOBAL","—"
"Waiting on Vendor","13870","In Progress","GLOBAL","—"
"UAT","13903","In Progress","PROJECT","15702"
"Waiting For Data","13936","In Progress","PROJECT","15702"
"Channel QA","13969","In Progress","PROJECT","15702"
"Done","15003","Done","PROJECT","17707"
"Discovery","15004","In Progress","PROJECT","17707"
"Parking lot","15005","To Do","PROJECT","17707"
"Planning","15006","In Progress","PROJECT","17707"
"Execution","15007","In Progress","PROJECT","17707"
"Ideation","15008","In Progress","PROJECT","17707"
